teleport('Meeting', 'target',
CHRIS: "You said there was news?"
BRAULIO: "Sumi's in! Her holding group would take 30% equity, but we'd be funded in full for the next five years! And with enough to hire more staff and buy material for the next Gazer prototype."
ARIEL: "Nice work."
NOEMI: "Hooray."
BRAULIO: "There were a few strings attached, but, I guess there always are."
CHRIS: "Like what?"
BRAULIO: "Nothing too serious! She wants to hang around for a week or two to observe how we work. I guess that's common for VCs?"
CHRIS: "I've never heard of it."
CHRIS: "Isn't that woman supposed to manage a multinational holdings company? How's she going to do that if she's sitting in the back of my lab, drilling into the back of my neck with those falcon eyes of hers?"
BRAULIO: "I offered her one of the empty offices. She'll be working from there and then spending down time looking over our tech."
NOEMI: "Maybe I should share some of research into dream projection... She could go back home, but leave her dream self here with us."
BRAULIO: "...Is that a real thing?"
ARIEL: "It absolutely is not."
BRAULIO: "And she wants us to demo mirroring for her."
CHRIS: "Braulio, you know we can't do that. It takes a receptive subject, not to mention the risk of ____."
CHRIS: "We've never even tried it with anyone other than Ariel and Noemi."
ARIEL: "Noemi and I will demo. There's no need for Sumi to experience mirroring herself -- she just needs to see that it works."
CHRIS: "If you're sure about this. If we end up with ____, we certainly won't be getting any funding."
BRAULIO: "What're the alternatives here though? The rent's high, but we can't afford to move anywhere else because half of our tech is on loan from Aquila."
BRAULIO: "We could try raising funds by minting Lucir-coin, like I offered last time we - "
CHRIS: "Absolutely not."
ARIEL: "We are not making a cryptocurrency."
NOEMI: "Wait, you actually suggested that?"
BRAULIO: "I get it, I get it! But we're out of options here, and Sumi looks like our best way to bring Gazer to market. So let's do this demo and let her hang around a bit."
CHRIS: "It's your call. I'll follow along."
BRAULIO: "Then Ariel, could you grab Sumi? Let's do this demo and prove we're worth her time."
